mode,model,fine_tuning,run_dir,test_accuracy,test_macro_f1,test_weighted_f1,train_time_min,run_name
augmentation,efficientnet_b6,finetune_all,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/augmentation__efficientnet_b6__finetune_all,0.9993187082708815,0.9992903528309792,0.9993184867098652,,augmentation | efficientnet_b6 | finetune_all
augmentation,efficientnet_b6,linear_probe,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/augmentation__efficientnet_b6__linear_probe,0.9449516282872326,0.9189248574064725,0.9441124305141212,,augmentation | efficientnet_b6 | linear_probe
augmentation,resnet50,finetune_all,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/augmentation__resnet50__finetune_all,0.99741109142935,0.9925832336865033,0.9973938013317546,,augmentation | resnet50 | finetune_all
augmentation,resnet50,linear_probe,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/augmentation__resnet50__linear_probe,0.9174274424308488,0.8887621158679749,0.9168054430425604,,augmentation | resnet50 | linear_probe
augmentation,vit_b16,finetune_all,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/augmentation__vit_b16__finetune_all,0.9972748330835264,0.9917725144523295,0.9972423009709555,,augmentation | vit_b16 | finetune_all
augmentation,vit_b16,linear_probe,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/augmentation__vit_b16__linear_probe,0.936639869191988,0.9254220338625486,0.9365669584454358,,augmentation | vit_b16 | linear_probe
original,efficientnet_b6,finetune_all,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/original__efficientnet_b6__finetune_all,0.9960629921259843,0.9959988429178341,0.9960769487651333,,original | efficientnet_b6 | finetune_all
original,efficientnet_b6,frozen,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/original__efficientnet_b6__frozen,0.937992125984252,0.9390326540825503,0.9383342941205665,,original | efficientnet_b6 | frozen
original,efficientnet_b6,linear_probe,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/original__efficientnet_b6__linear_probe,0.9537401574803149,0.9543912421140632,0.9539178213064167,,original | efficientnet_b6 | linear_probe
original,resnet50,finetune_all,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/original__resnet50__finetune_all,0.984251968503937,0.9845279886134135,0.9842966059352057,,original | resnet50 | finetune_all
original,resnet50,frozen,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/original__resnet50__frozen,0.9320866141732284,0.9325966488486729,0.9323358980916725,,original | resnet50 | frozen
original,resnet50,linear_probe,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/original__resnet50__linear_probe,0.9005905511811023,0.9002433384261689,0.9005244129861373,,original | resnet50 | linear_probe
original,vit_b16,finetune_all,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/original__vit_b16__finetune_all,0.9537401574803149,0.9543306773606661,0.9537298188724762,,original | vit_b16 | finetune_all
original,vit_b16,frozen,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/original__vit_b16__frozen,0.9389763779527559,0.9393771819386711,0.9385588275955234,,original | vit_b16 | frozen
original,vit_b16,linear_probe,/content/drive/MyDrive/fruit_classification/experiments/runs/20260325_3models_ft/original__vit_b16__linear_probe,0.9261811023622047,0.9264088615952771,0.9259865644940654,,original | vit_b16 | linear_probe
