,mode,model,fine_tuning,test_accuracy,test_macro_f1,test_weighted_f1,train_time_min
1,augmentation,efficientnet_b6,finetune_all,0.9993187082708815,0.9992903528309792,0.9993184867098652,
2,original,efficientnet_b6,finetune_all,0.9960629921259843,0.9959988429178341,0.9960769487651333,
3,augmentation,resnet50,finetune_all,0.99741109142935,0.9925832336865033,0.9973938013317546,
4,augmentation,vit_b16,finetune_all,0.9972748330835264,0.9917725144523295,0.9972423009709555,
5,original,resnet50,finetune_all,0.984251968503937,0.9845279886134135,0.9842966059352057,
6,original,efficientnet_b6,linear_probe,0.9537401574803149,0.9543912421140632,0.9539178213064167,
7,original,vit_b16,finetune_all,0.9537401574803149,0.9543306773606661,0.9537298188724762,
8,original,vit_b16,frozen,0.9389763779527559,0.9393771819386711,0.9385588275955234,
9,original,efficientnet_b6,frozen,0.937992125984252,0.9390326540825503,0.9383342941205665,
10,original,resnet50,frozen,0.9320866141732284,0.9325966488486729,0.9323358980916725,
